molecule,box,D_m2_s,window_ps
1,35,2.8033383172055832e-09,1949.5
2,35,2.72094979792607e-09,1949.5
3,35,4.929338026891425e-11,1374.5
4,35,1.9418701016518528e-10,1949.5
5,35,2.9103060458892374e-10,1949.5
6,35,5.0167012133068565e-11,1899.5
7,35,1.384080671951711e-09,1949.5
8,35,2.243975791595743e-11,1899.5
9,35,1.5849417542931244e-11,1849.5
10,35,5.1359944566316014e-11,1174.5
11,35,7.666864551891811e-10,1949.5
12,35,1.430526484790432e-09,1949.5
13,35,7.241087672273297e-10,1949.5
14,35,2.1654519816164784e-09,1949.5
15,35,2.5964344165157152e-09,1949.5
16,35,3.313346879683494e-12,1949.5
17,35,4.996535749612109e-12,1949.5
18,35,2.557310475495898e-11,1949.5
19,35,1.206824120344226e-12,924.5
20,35,1.6912307596317073e-12,899.5
21,35,2.0432941528525844e-10,1949.5
22,35,3.7906352072866236e-10,1949.5
23,35,3.3031937207176992e-12,849.5
24,35,2.6763288857266317e-12,1699.5
25,35,6.922129111068821e-12,1224.5
27,35,2.155920803735646e-09,1949.5
28,35,6.652197233071776e-10,1949.5
29,35,4.2045288797529676e-10,1949.5
30,35,1.858567433595968e-10,1949.5
31,35,1.3622297899531283e-09,1949.5
32,35,3.4543268241022647e-10,1949.5
33,35,1.0575897847030889e-10,1949.5
34,35,1.1988620913788208e-10,1949.5
35,35,7.289183324207931e-10,1949.5
36,35,1.1174275522737375e-09,1949.5
37,35,3.92188525989999e-12,1099.5
38,35,1.005387461279483e-09,1949.5
39,35,9.134096671488731e-11,1649.5
40,35,1.886529470900583e-09,1949.5
41,35,4.085506187480182e-10,1949.5
42,35,1.487603065914777e-11,1674.5
43,35,1.0668581168904225e-12,799.5
44,35,1.5001018173305919e-09,1949.5
45,35,8.833506875273869e-11,1949.5
46,35,8.188836242445761e-11,1724.5
47,35,4.0804132530677636e-11,1824.5
48,35,5.7852395357647357e-11,1349.5
49,35,9.975653022302692e-11,1949.5
50,35,4.36619003424745e-12,924.5
51,35,1.6562574093560468e-10,1949.5
52,35,2.3434966126368005e-11,1949.5
53,35,9.64869945818889e-10,1949.5
54,35,6.887615664816449e-11,1949.5
55,35,1.7581822652073792e-10,1949.5
56,35,1.1554398640820802e-10,1949.5
58,35,8.907583187762074e-11,1949.5
59,35,1.1045453046147465e-10,1949.5
60,35,4.9391577966194385e-12,1924.5
61,35,4.732952703091065e-10,1949.5
62,35,1.0311736863390753e-12,949.5
63,35,1.9117752571304894e-10,1949.5
65,35,7.74435910403681e-12,1074.5
66,35,7.405911688703321e-11,1849.5
67,35,1.1813815332294441e-09,1949.5
68,35,6.230011123537263e-11,1899.5
69,35,1.27311945487858e-11,1899.5
70,35,6.943990370273798e-12,1224.5
71,35,3.9760851586613225e-12,1924.5
72,35,1.13334156879114e-10,1949.5
73,35,3.4132870921126487e-10,1949.5
74,35,5.090945210419678e-11,1949.5
76,35,4.521666924515776e-11,1049.5
77,35,3.9217352047449676e-12,1799.5
78,35,6.097709349060301e-11,1849.5
79,35,3.8937166868668285e-11,1824.5
81,35,1.250474248242483e-10,1949.5
82,35,3.6159099250251285e-11,1949.5
83,35,1.1435782559782771e-10,1949.5
84,35,1.5376289022491244e-11,1899.5
85,35,1.6074282961989102e-11,1949.5
86,35,1.0358278564623245e-12,674.5
87,35,1.8653259111191683e-12,1774.5
88,35,3.1682443662074937e-10,1949.5
89,35,5.246156457830135e-11,1949.5
91,35,9.336218613927748e-11,1949.5
92,35,1.3894289166150672e-11,1874.5
93,35,7.0758028429316e-11,1924.5
94,35,1.7126500038914953e-11,1399.5
95,35,4.732685117210926e-10,1949.5
96,35,4.566288647929068e-12,1174.5
97,35,3.0633332057623177e-12,1224.5
98,35,9.101676144110637e-13,699.5
99,35,8.940624585817778e-13,1949.5
100,35,1.4627549310877447e-11,1949.5
101,35,5.6860267114358344e-11,1949.5
102,35,8.088332855864355e-13,624.5
103,35,3.4888134783093456e-12,1824.5
104,35,3.5622706540268807e-12,1899.5
105,35,2.510436573439476e-12,999.5
106,35,8.203357980634144e-12,1724.5
107,35,1.327876516253058e-12,1574.5
108,35,5.62674957345394e-12,1549.5
112,35,6.835174564446676e-10,1949.5
113,35,3.4760876550216462e-09,1949.5
114,35,4.656152705409528e-09,1949.5
115,35,3.148155389984319e-10,1949.5
116,35,4.7256453631596724e-12,1949.5
117,35,4.121430255937784e-09,1949.5
118,35,3.380211241576216e-10,1949.5
119,35,3.583088282426333e-09,1949.5
122,35,5.832909141776697e-13,649.5
123,35,2.7669964391363907e-09,1949.5
124,35,3.9883643101884376e-12,1624.5
125,35,1.095455108423563e-11,1499.5
126,35,2.546421439044732e-12,949.5
127,35,8.432397913702802e-13,1099.5
128,35,1.2238800200693056e-10,1949.5
129,35,2.1103099819290982e-11,1824.5
130,35,8.36249997470511e-10,1949.5
131,35,7.654380390146758e-11,1574.5
132,35,2.176098379668688e-12,674.5
133,35,3.765724768272754e-12,1949.5
134,35,2.330060193340293e-12,1249.5
135,35,2.652765213589014e-12,1399.5
136,35,3.1303746625580476e-12,1924.5
137,35,2.5433002408077297e-12,1274.5
138,35,4.062336274185877e-10,1949.5
139,35,1.7933452533464214e-09,1949.5
140,35,3.802651062854822e-11,1924.5
141,35,1.4925600960556197e-11,1499.5
142,35,3.6746484313784347e-10,1949.5
143,35,5.637712031379423e-10,1949.5
144,35,7.662758053047319e-12,1324.5
145,35,6.422242877822119e-11,1949.5
146,35,4.4798840655734696e-12,1074.5
148,35,4.3171380461327353e-13,524.5
149,35,4.2250170770644995e-12,1449.5
150,35,5.960489890268437e-12,1899.5
151,35,3.607602997595266e-12,1424.5
152,35,9.998403311495498e-13,1399.5
153,35,1.6824366382182213e-12,1399.5
154,35,1.1120127098673066e-12,324.5
156,35,2.1674012590788664e-10,1949.5
157,35,1.3206200888411584e-10,1949.5
158,35,9.90073060760022e-10,1949.5
159,35,1.8881992236321567e-09,1949.5
160,35,1.0756062320772643e-09,1949.5
162,35,2.3154413304028724e-12,1099.5
163,35,6.967480862839761e-10,1949.5
164,35,2.773114018610728e-12,1024.5
165,35,5.445478635462932e-10,1949.5
166,35,1.3007739858670546e-12,1374.5
167,35,2.3280416389544454e-10,1949.5
168,35,2.0935385266455994e-12,1399.5
169,35,4.911279427167338e-13,949.5
171,35,4.729031383208165e-12,1799.5
172,35,5.6326790646179674e-11,1949.5
173,35,8.287211079262373e-11,1949.5
174,35,2.8867129011493093e-11,1524.5
175,35,2.8955745364129884e-10,1949.5
176,35,1.8331611314514286e-09,1949.5
177,35,1.5110729191696155e-09,1949.5
178,35,2.8334713949263212e-09,1949.5
179,35,1.5712186596310237e-12,1349.5
181,35,5.140384854899946e-12,1949.5
182,35,9.86748872076576e-11,1699.5
184,35,3.4221961010768364e-12,1724.5
185,35,7.065901898127236e-13,924.5
186,35,1.840071507615588e-12,824.5
187,35,6.827368574112035e-13,849.5
188,35,1.2894433627330978e-12,1449.5
191,35,6.930401222854528e-13,1674.5
192,35,1.9991674602366152e-10,1949.5
193,35,4.1665346221836043e-13,599.5
195,35,5.6144773886282695e-11,1924.5
196,35,2.514435850167241e-11,1874.5
198,35,3.435092877337111e-11,1774.5
199,35,4.809366868146908e-12,1524.5
200,35,9.08489543447236e-11,1949.5
201,35,7.361166518687067e-10,1949.5
202,35,5.13531707265388e-12,1774.5
203,35,2.0070703267979364e-10,1949.5
204,35,1.4391863699081902e-09,1949.5
205,35,5.2485585956297375e-11,1324.5
206,35,1.3892285878531984e-12,699.5
208,35,2.9607001858274075e-09,1949.5
209,35,8.879372865004976e-12,1949.5
210,35,6.271514599252672e-12,1399.5
211,35,1.8292617447167735e-09,1949.5
212,35,8.611546761086208e-12,1949.5
213,35,1.0411811045394484e-10,1299.5
214,35,6.539835220672763e-13,1099.5
215,35,2.4774630298955367e-12,1524.5
216,35,1.377781516436258e-12,874.5
218,35,7.96831043947133e-10,1949.5
219,35,1.1008350877942538e-09,1949.5
220,35,3.351389906906202e-11,1924.5
221,35,1.1710735943328237e-11,1949.5
222,35,2.5115573891568624e-09,1949.5
223,35,5.45655276802066e-10,1949.5
224,35,2.4311212179607307e-10,1949.5
225,35,1.7835783017730994e-12,1899.5
228,35,1.464237969365142e-09,1949.5
231,35,2.5084993993756367e-12,1749.5
232,35,2.925973380720238e-12,1099.5
233,35,2.518856741662753e-09,1949.5
234,35,3.8457969998688287e-10,1949.5
235,35,2.9488434804805203e-10,1949.5
236,35,8.74817675435569e-10,1949.5
237,35,1.337829935884327e-09,1949.5
238,35,1.817092073406208e-09,1949.5
239,35,5.173405649328269e-11,1874.5
240,35,4.180088084090093e-12,1149.5
241,35,4.406126752995469e-12,1949.5
243,35,4.2224518760970357e-10,1949.5
244,35,9.247761137830074e-13,174.5
245,35,1.016163949310769e-12,224.5
246,35,1.0744341630232212e-10,1949.5
248,35,6.591153206769609e-13,699.5
249,35,2.388244794445833e-12,449.5
250,35,1.0379954342733369e-12,299.5
251,35,1.4051189788494748e-12,949.5
253,35,1.6484642475333692e-09,1949.5
255,35,3.1609241639134616e-12,1924.5
256,35,1.834120122349095e-10,1949.5
258,35,2.6690605386586864e-12,849.5
259,35,2.5453393468067635e-12,1299.5
