can_SMILES,T_K,Dexp×10-9/m2·s-1,box,window_ps,Dmd×10-9/m2·s-1,Dpred×10-9/m2·s-1,ref,target
CCCCC,297.16,5.75,,,,,acs.iecr.2c03342,5.75
CCCCC,298.16,5.96,,,,,acs.iecr.2c03342,5.96
CCCCC,298.2,5.62,,,,,acs.iecr.2c03342,5.62
CCCCCC,298.16,4.175909091,,,,,acs.iecr.2c03342,4.175909091
CCCCCC,298.2,4.19,,,,,acs.iecr.2c03342,4.19
CCCCCCC,296.0677189,2.974094012,,,,,acs.iecr.2c03342,2.974094012
CCCCCCC,296.7181467,3.008437232,,,,,acs.iecr.2c03342,3.008437232
CCCCCCC,297.7666532,3.013502812,,,,,acs.iecr.2c03342,3.013502812
CCCCCCC,298.16,3.1512,,,,,acs.iecr.2c03342,3.1512
CCCCCCC,298.2496992,3.018576922,,,,,acs.iecr.2c03342,3.018576922
CCCCCCC,299.5307287,3.139428962,,,,,acs.iecr.2c03342,3.139428962
CCCCCCC,299.7,3.04,,,,,acs.iecr.2c03342,3.04
CCCCCCC,300.0,3.16,,,,,acs.iecr.2c03342,3.16
CCCCCCCC,295.16,2.2,,,,,acs.iecr.2c03342,2.2
CCCCCCCC,297.3419325,1.830686335,,,,,acs.iecr.2c03342,1.830686335
CCCCCCCC,298.16,2.3364,,,,,acs.iecr.2c03342,2.3364
CCCCCCCCC,298.16,1.866,,,,,acs.iecr.2c03342,1.866
CCCCCCCCC,299.0313226,1.678736407,,,,,acs.iecr.2c03342,1.678736407
CCCCCCCCCC,297.1627993,1.305685777,,,,,acs.iecr.2c03342,1.305685777
CCCCCCCCCC,298.0,1.4,,,,,acs.iecr.2c03342,1.4
CCCCCCCCCC,298.16,1.472,,,,,acs.iecr.2c03342,1.472
CCCCCCCCCC,298.4697841,1.332625624,,,,,acs.iecr.2c03342,1.332625624
CCCCCCCCCC,299.3976983,1.319241431,,,,,acs.iecr.2c03342,1.319241431
CCCCCCCCCC,299.774925,1.352956944,,,,,acs.iecr.2c03342,1.352956944
CCCCCCCCCCC,298.16,1.141,,,,,acs.iecr.2c03342,1.141
CCCCCCCCCCCC,298.16,0.8465,,,,,acs.iecr.2c03342,0.8465
CCCCCCCCCCCCC,298.16,0.7285,,,,,acs.iecr.2c03342,0.7285
CCCCCCCCCCCCCC,295.16,0.59,,,,,acs.iecr.2c03342,0.59
CCCCCCCCCCCCCC,298.16,0.559987575,,,,,acs.iecr.2c03342,0.559987575
CCCCCCCCCCCCCCC,298.16,0.461,,,,,acs.iecr.2c03342,0.461
CCCCCCCCCCCCCCCC,298.16,0.387,,,,,acs.iecr.2c03342,0.387
CCC(C)C,298.66,4.85,,,,,acs.iecr.2c03342,4.85
CCC(C)(C)C,298.16,3.51,,,,,acs.iecr.2c03342,3.51
CC(C)C(C)C,298.16,3.82,,,,,acs.iecr.2c03342,3.82
