Compound_Name,T_K,Dexp×10-9/m2·s-1,ln(Dexp×10-9/m2·s-1),SMILES_PubChem,ref,can_SMILES,can_SMILES_T_K
n-pentane,297.16,5.75,1.749199854809259,CCCCC,acs.iecr.2c03342,CCCCC,CCCCC@297.16
n-pentane,298.16,5.96,1.7850704810772584,CCCCC,acs.iecr.2c03342,CCCCC,CCCCC@298.16
n-pentane,298.2,5.62,1.7263316639055997,CCCCC,acs.iecr.2c03342,CCCCC,CCCCC@298.2
n-hexane,298.16,4.175909091,1.429332080925059,CCCCCC,acs.iecr.2c03342,CCCCCC,CCCCCC@298.16
n-hexane,298.2,4.19,1.4327007339340465,CCCCCC,acs.iecr.2c03342,CCCCCC,CCCCCC@298.2
n-heptane,296.0677189,2.974094012,1.0899394588240736,CCCCCCC,acs.iecr.2c03342,CCCCCCC,CCCCCCC@296.0677189
n-heptane,296.7181467,3.008437232,1.1014207519599422,CCCCCCC,acs.iecr.2c03342,CCCCCCC,CCCCCCC@296.7181467
n-heptane,297.7666532,3.013502812,1.1031031271716163,CCCCCCC,acs.iecr.2c03342,CCCCCCC,CCCCCCC@297.7666532
n-heptane,298.16,3.1512,1.147783332674559,CCCCCCC,acs.iecr.2c03342,CCCCCCC,CCCCCCC@298.16
n-heptane,298.2496992,3.018576922,1.104785502383292,CCCCCCC,acs.iecr.2c03342,CCCCCCC,CCCCCCC@298.2496992
n-heptane,299.5307287,3.139428962,1.1440409239890208,CCCCCCC,acs.iecr.2c03342,CCCCCCC,CCCCCCC@299.5307287
n-heptane,299.7,3.04,1.1118575154181305,CCCCCCC,acs.iecr.2c03342,CCCCCCC,CCCCCCC@299.7
n-heptane,300.0,3.16,1.1505720275988207,CCCCCCC,acs.iecr.2c03342,CCCCCCC,CCCCCCC@300.0
n-octane,295.16,2.2,0.7884573603642703,CCCCCCCC,acs.iecr.2c03342,CCCCCCCC,CCCCCCCC@295.16
n-octane,297.3419325,1.830686335,0.6046909431848948,CCCCCCCC,acs.iecr.2c03342,CCCCCCCC,CCCCCCCC@297.3419325
n-octane,298.16,2.3364,0.8486112831840171,CCCCCCCC,acs.iecr.2c03342,CCCCCCCC,CCCCCCCC@298.16
n-nonane,298.16,1.866,0.6237971024251522,CCCCCCCCC,acs.iecr.2c03342,CCCCCCCCC,CCCCCCCCC@298.16
n-nonane,299.0313226,1.678736407,0.5180413716098754,CCCCCCCCC,acs.iecr.2c03342,CCCCCCCCC,CCCCCCCCC@299.0313226
n-decane,297.1627993,1.305685777,0.2667284022187838,CCCCCCCCCC,acs.iecr.2c03342,CCCCCCCCCC,CCCCCCCCCC@297.1627993
n-decane,298.0,1.4,0.3364722366212129,CCCCCCCCCC,acs.iecr.2c03342,CCCCCCCCCC,CCCCCCCCCC@298.0
n-decane,298.16,1.472,0.3866220203066844,CCCCCCCCCC,acs.iecr.2c03342,CCCCCCCCCC,CCCCCCCCCC@298.16
n-decane,298.4697841,1.332625624,0.2871511495096626,CCCCCCCCCC,acs.iecr.2c03342,CCCCCCCCCC,CCCCCCCCCC@298.4697841
n-decane,299.3976983,1.319241431,0.2770568982396213,CCCCCCCCCC,acs.iecr.2c03342,CCCCCCCCCC,CCCCCCCCCC@299.3976983
n-decane,299.774925,1.352956944,0.3022925264147287,CCCCCCCCCC,acs.iecr.2c03342,CCCCCCCCCC,CCCCCCCCCC@299.774925
n-undecane,298.16,1.141,0.1319050708799386,CCCCCCCCCCC,acs.iecr.2c03342,CCCCCCCCCCC,CCCCCCCCCCC@298.16
n-dodecane,298.16,0.8465,-0.166645077,CCCCCCCCCCCC,acs.iecr.2c03342,CCCCCCCCCCCC,CCCCCCCCCCCC@298.16
n-tridecane,298.16,0.7285,-0.316767653,CCCCCCCCCCCCC,acs.iecr.2c03342,CCCCCCCCCCCCC,CCCCCCCCCCCCC@298.16
n-tetradecane,295.16,0.59,-0.527632742,CCCCCCCCCCCCCC,acs.iecr.2c03342,CCCCCCCCCCCCCC,CCCCCCCCCCCCCC@295.16
n-tetradecane,298.16,0.559987575,-0.579840683,CCCCCCCCCCCCCC,acs.iecr.2c03342,CCCCCCCCCCCCCC,CCCCCCCCCCCCCC@298.16
n-pentadecane,298.16,0.461,-0.774357236,CCCCCCCCCCCCCCC,acs.iecr.2c03342,CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCC@298.16
n-hexadecane,298.16,0.387,-0.949330586,CCCCCCCCCCCCCCCC,acs.iecr.2c03342,CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC@298.16
isopentane,298.66,4.85,1.5789787049493915,CCC(C)C,acs.iecr.2c03342,CCC(C)C,CCC(C)C@298.66
"2,2-dimethylbutane",298.16,3.51,1.2556160374777745,CCC(C)(C)C,acs.iecr.2c03342,CCC(C)(C)C,CCC(C)(C)C@298.16
"2,3-dimethylbutane",298.16,3.82,1.3402504226184837,CC(C)C(C)C,acs.iecr.2c03342,CC(C)C(C)C,CC(C)C(C)C@298.16
2-methylpentane,298.16,4.58,1.5216989981260935,CCCC(C)C,acs.iecr.2c03342,CCCC(C)C,CCCC(C)C@298.16
3-methylpentane,297.5,3.62,1.2864740258376797,CCC(C)CC,acs.iecr.2c03342,CCC(C)CC,CCC(C)CC@297.5
3-methylpentane,298.129,3.93,1.3686394258811698,CCC(C)CC,acs.iecr.2c03342,CCC(C)CC,CCC(C)CC@298.129
3-methylpentane,298.16,4.33,1.4655675420143983,CCC(C)CC,acs.iecr.2c03342,CCC(C)CC,CCC(C)CC@298.16
isooctane,298.16,2.28,0.8241754429663494,CC(C)CC(C)(C)C,acs.iecr.2c03342,CC(C)CC(C)(C)C,CC(C)CC(C)(C)C@298.16
3-methyl heneicosane,298.0,0.14,-1.966112856,CCCCCCCCCCCCCCCCCCC(C)CC,acs.iecr.2c03342,CCCCCCCCCCCCCCCCCCC(C)CC,CCCCCCCCCCCCCCCCCCC(C)CC@298.0
4-methyl docosane,298.0,0.148,-1.910543005,CCCCCCCCCCCCCCCCCCC(C)CCC,acs.iecr.2c03342,CCCCCCCCCCCCCCCCCCC(C)CCC,CCCCCCCCCCCCCCCCCCC(C)CCC@298.0
9-methyl tricosane,298.0,0.108,-2.225624052,CCCCCCCCCCCCCCC(C)CCCCCCCC,acs.iecr.2c03342,CCCCCCCCCCCCCCC(C)CCCCCCCC,CCCCCCCCCCCCCCC(C)CCCCCCCC@298.0
10-n-hexyl nonadecane,298.0,0.0681,-2.686778066,CCCCCCCCCC(CCCCCC)CCCCCCCCC,acs.iecr.2c03342,CCCCCCCCCC(CCCCCC)CCCCCCCCC,CCCCCCCCCC(CCCCCC)CCCCCCCCC@298.0
cyclopentene,295.66,3.755851284,1.3233149661871173,C1CC=CC1,acs.iecr.2c03342,C1=CCCC1,C1=CCCC1@295.66
cyclopentane,299.4376137,3.373198521,1.2158614103870575,C1CCCC1,acs.iecr.2c03342,C1CCCC1,C1CCCC1@299.4376137
methylcyclopentane,298.16,2.9,1.0647107369924282,CC1CCCC1,acs.iecr.2c03342,CC1CCCC1,CC1CCCC1@298.16
cyclohexane,298.0,1.446892507,0.3694181580377235,C1CCCCC1,acs.iecr.2c03342,C1CCCCC1,C1CCCCC1@298.0
cyclohexane,298.16,1.458411765,0.3773480112078978,C1CCCCC1,acs.iecr.2c03342,C1CCCCC1,C1CCCCC1@298.16
cyclohexane,298.18,1.45175,0.3727697252700223,C1CCCCC1,acs.iecr.2c03342,C1CCCCC1,C1CCCCC1@298.18
cyclohexane,298.2,1.464290273,0.38137067,C1CCCCC1,acs.iecr.2c03342,C1CCCCC1,C1CCCCC1@298.2
cyclohexane,298.3168839,1.427696944,0.3560626176305133,C1CCCCC1,acs.iecr.2c03342,C1CCCCC1,C1CCCCC1@298.3168839
cyclohexane,299.3662544,1.496956228,0.403433865,C1CCCCC1,acs.iecr.2c03342,C1CCCCC1,C1CCCCC1@299.3662544
methylcyclohexane,298.16,1.84,0.6097655716208943,CC1CCCCC1,acs.iecr.2c03342,CC1CCCCC1,CC1CCCCC1@298.16
cycloheptane,298.5583701,0.87243023,-0.136472594,C1CCCCCC1,acs.iecr.2c03342,C1CCCCCC1,C1CCCCCC1@298.5583701
cyclooctane,298.15,0.5445,-0.607887337,C1CCCCCCC1,acs.iecr.2c03342,C1CCCCCCC1,C1CCCCCCC1@298.15
cyclooctane,298.16,0.554666667,-0.589387946,C1CCCCCCC1,acs.iecr.2c03342,C1CCCCCCC1,C1CCCCCCC1@298.16
cyclodecane,297.7054235,0.328726582,-1.112528932,C1CCCCCCCCC1,acs.iecr.2c03342,C1CCCCCCCCC1,C1CCCCCCCCC1@297.7054235
cis-perhydroindene,296.0453612,0.630587472,-0.461103398,C1CCC2CCCC2C1,acs.iecr.2c03342,C1CCC2CCCC2C1,C1CCC2CCCC2C1@296.0453612
trans-decalin,296.5798844,0.679500313,-0.386397585,C1CCC2CCCCC2C1,acs.iecr.2c03342,C1CCC2CCCCC2C1,C1CCC2CCCCC2C1@296.5798844
bicyclohexane,296.7306123,0.480318323,-0.733306221,C1CCC(CC1)C2CCCCC2,acs.iecr.2c03342,C1CCC(C2CCCCC2)CC1,C1CCC(C2CCCCC2)CC1@296.7306123
benzene,295.16,1.9,0.6418538861723947,C1=CC=CC=C1,acs.iecr.2c03342,c1ccccc1,c1ccccc1@295.16
benzene,295.8581404,2.175382625,0.7772045687309843,C1=CC=CC=C1,acs.iecr.2c03342,c1ccccc1,c1ccccc1@295.8581404
benzene,296.16,2.07,0.7275486072772777,C1=CC=CC=C1,acs.iecr.2c03342,c1ccccc1,c1ccccc1@296.16
benzene,298.0,2.27,0.8197798314933114,C1=CC=CC=C1,acs.iecr.2c03342,c1ccccc1,c1ccccc1@298.0
benzene,298.16,2.204699003,0.7905909930623434,C1=CC=CC=C1,acs.iecr.2c03342,c1ccccc1,c1ccccc1@298.16
benzene,298.18,2.2175,0.7963804352015974,C1=CC=CC=C1,acs.iecr.2c03342,c1ccccc1,c1ccccc1@298.18
benzene,298.2,2.226333333,0.8003559870753878,C1=CC=CC=C1,acs.iecr.2c03342,c1ccccc1,c1ccccc1@298.2
benzene,299.646344,2.258849605,0.8148556594277019,C1=CC=CC=C1,acs.iecr.2c03342,c1ccccc1,c1ccccc1@299.646344
benzene,299.96004,2.336232081,0.8485394097431026,C1=CC=CC=C1,acs.iecr.2c03342,c1ccccc1,c1ccccc1@299.96004
toluene,295.16,2.26,0.8153648132841944,CC1=CC=CC=C1,acs.iecr.2c03342,Cc1ccccc1,Cc1ccccc1@295.16
toluene,295.4467165,2.114404396,0.7487731634817032,CC1=CC=CC=C1,acs.iecr.2c03342,Cc1ccccc1,Cc1ccccc1@295.4467165
toluene,297.8504141,1.925660163,0.6552688506898747,CC1=CC=CC=C1,acs.iecr.2c03342,Cc1ccccc1,Cc1ccccc1@297.8504141
toluene,297.9851002,2.130243278,0.7562361881747037,CC1=CC=CC=C1,acs.iecr.2c03342,Cc1ccccc1,Cc1ccccc1@297.9851002
toluene,298.1597641,2.375565538,0.8652355304531425,CC1=CC=CC=C1,acs.iecr.2c03342,Cc1ccccc1,Cc1ccccc1@298.1597641
toluene,298.16,2.257143266,0.8140999720805207,CC1=CC=CC=C1,acs.iecr.2c03342,Cc1ccccc1,Cc1ccccc1@298.16
o-xylene,295.16,1.76,0.5653138090500605,CC1=CC=CC=C1C,acs.iecr.2c03342,Cc1ccccc1C,Cc1ccccc1C@295.16
mesitylene,298.8341245,1.597185002,0.4682427056875441,CC1=CC(=CC(=C1)C)C,acs.iecr.2c03342,Cc1cc(C)cc(C)c1,Cc1cc(C)cc(C)c1@298.8341245
"1,3,5-triisopropylbenzene",298.6037509,0.38249696,-0.961034573,CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C,acs.iecr.2c03342,CC(C)c1cc(C(C)C)cc(C(C)C)c1,CC(C)c1cc(C(C)C)cc(C(C)C)c1@298.6037509
tetramethoxymethane,297.2014464,0.897009322,-0.108689025,COC(OC)(OC)OC,acs.iecr.2c03342,COC(OC)(OC)OC,COC(OC)(OC)OC@297.2014464
tetrahydrofuran,298.16,3.12,1.1378330018213911,C1CCOC1,acs.iecr.2c03342,C1CCOC1,C1CCOC1@298.16
tetrahydropyran,298.16,1.84,0.6097655716208943,C1CCOCC1,acs.iecr.2c03342,C1CCOCC1,C1CCOCC1@298.16
dioxane,296.5319244,1.145420869,0.1357721405268427,C1COCCO1,acs.iecr.2c03342,C1COCCO1,C1COCCO1@296.5319244
dioxane,298.16,1.089666667,0.085871839,C1COCCO1,acs.iecr.2c03342,C1COCCO1,C1COCCO1@298.16
15-crown-5,298.2452335,0.052152278,-2.953587416,C1COCCOCCOCCOCCO1,acs.iecr.2c03342,C1COCCOCCOCCOCCO1,C1COCCOCCOCCOCCO1@298.2452335
15-crown-5,298.7303958,0.050518044,-2.985424699,C1COCCOCCOCCOCCO1,acs.iecr.2c03342,C1COCCOCCOCCOCCO1,C1COCCOCCOCCOCCO1@298.7303958
acetone,295.16,4.867,1.5824777308513172,CC(=O)C,acs.iecr.2c03342,CC(C)=O,CC(C)=O@295.16
acetone,297.8157492,4.715694622,1.5508962270308215,CC(=O)C,acs.iecr.2c03342,CC(C)=O,CC(C)=O@297.8157492
acetone,298.0,4.0,1.3862943611198906,CC(=O)C,acs.iecr.2c03342,CC(C)=O,CC(C)=O@298.0
acetone,298.16,4.717857143,1.551354701353075,CC(=O)C,acs.iecr.2c03342,CC(C)=O,CC(C)=O@298.16
acetone,299.7360791,4.659281141,1.538861174730136,CC(=O)C,acs.iecr.2c03342,CC(C)=O,CC(C)=O@299.7360791
acetone,300.0,4.7,1.547562508716013,CC(=O)C,acs.iecr.2c03342,CC(C)=O,CC(C)=O@300.0
2-pentanone,298.16,2.97,1.0885619528146082,CCCC(=O)C,acs.iecr.2c03342,CCCC(C)=O,CCCC(C)=O@298.16
2-hexanone,298.16,2.06,0.7227059828014898,CCCCC(=O)C,acs.iecr.2c03342,CCCCC(C)=O,CCCCC(C)=O@298.16
2-heptanone,298.16,1.61,0.4762341789963717,CCCCCC(=O)C,acs.iecr.2c03342,CCCCCC(C)=O,CCCCCC(C)=O@298.16
2-octanone,298.16,1.18,0.1655144384775733,CCCCCCC(=O)C,acs.iecr.2c03342,CCCCCCC(C)=O,CCCCCCC(C)=O@298.16
2-nonanone,298.16,0.945,-0.056570351,CCCCCCCC(=O)C,acs.iecr.2c03342,CCCCCCCC(C)=O,CCCCCCCC(C)=O@298.16
2-decanone,298.16,0.747,-0.291690094,CCCCCCCCC(=O)C,acs.iecr.2c03342,CCCCCCCCC(C)=O,CCCCCCCCC(C)=O@298.16
cyclohexanone,298.16,0.89,-0.116533816,C1CCC(=O)CC1,acs.iecr.2c03342,O=C1CCCCC1,O=C1CCCCC1@298.16
methyl acetate,298.16,3.28,1.1878434223960523,CC(=O)OC,acs.iecr.2c03342,COC(C)=O,COC(C)=O@298.16
ethyl acetate,298.16,2.77,1.0188473201992472,CCOC(=O)C,acs.iecr.2c03342,CCOC(C)=O,CCOC(C)=O@298.16
γ-butyrolactone,295.0,0.83,-0.186329578,C1CC(=O)OC1,acs.iecr.2c03342,O=C1CCCO1,O=C1CCCO1@295.0
n-methyl hexyl carbonate,298.16,0.729,-0.316081547,CCCCCCOC(=O)OC,acs.iecr.2c03342,CCCCCCOC(=O)OC,CCCCCCOC(=O)OC@298.16
n-methyl octyl carbonate,298.16,0.491,-0.711311151,CCCCCCCCOC(=O)OC,acs.iecr.2c03342,CCCCCCCCOC(=O)OC,CCCCCCCCOC(=O)OC@298.16
n-methyl decyl carbonate,298.16,0.303,-1.194022473,CCCCCCCCCCOC(=O)OC,acs.iecr.2c03342,CCCCCCCCCCOC(=O)OC,CCCCCCCCCCOC(=O)OC@298.16
n-methyl dodecyl carbonate,298.16,0.21,-1.560647748,CCCCCCCCCCCCOC(=O)OC,acs.iecr.2c03342,CCCCCCCCCCCCOC(=O)OC,CCCCCCCCCCCCOC(=O)OC@298.16
propylene carbonate,296.7784318,0.342289602,-1.072098112,CC1COC(=O)O1,acs.iecr.2c03342,CC1COC(=O)O1,CC1COC(=O)O1@296.7784318
acetic anhydride,298.16,1.6,0.4700036292457356,CC(=O)OC(=O)C,acs.iecr.2c03342,CC(=O)OC(C)=O,CC(=O)OC(C)=O@298.16
acetonitrile,298.16,4.479545455,1.4995215802404125,CC#N,acs.iecr.2c03342,CC#N,CC#N@298.16
n-heptanenitrile,298.16,0.954,-0.047091608,CCCCCCC#N,acs.iecr.2c03342,CCCCCCC#N,CCCCCCC#N@298.16
n-octanenitrile,298.16,0.73,-0.314710745,CCCCCCCC#N,acs.iecr.2c03342,CCCCCCCC#N,CCCCCCCC#N@298.16
n-nonanenitrile,298.16,0.538,-0.619896719,CCCCCCCCC#N,acs.iecr.2c03342,CCCCCCCCC#N,CCCCCCCCC#N@298.16
n-decanenitrile,298.16,0.458,-0.780886095,CCCCCCCCCC#N,acs.iecr.2c03342,CCCCCCCCCC#N,CCCCCCCCCC#N@298.16
n-dodecanenitrile,298.16,0.291,-1.234432012,CCCCCCCCCCCC#N,acs.iecr.2c03342,CCCCCCCCCCCC#N,CCCCCCCCCCCC#N@298.16
aniline,298.2,0.27,-1.30933332,C1=CC=C(C=C1)N,acs.iecr.2c03342,Nc1ccccc1,Nc1ccccc1@298.2
m-fluoroaniline,295.5204794,0.473979848,-0.746590474,C1=CC(=CC(=C1)F)N,acs.iecr.2c03342,Nc1cccc(F)c1,Nc1cccc(F)c1@295.5204794
ethylenediamine,298.0,0.98,-0.020202707,C(CN)N,acs.iecr.2c03342,NCCN,NCCN@298.0
formamide,298.16,0.53,-0.634878272,C(=O)N,acs.iecr.2c03342,NC=O,NC=O@298.16
"N,N-dimethylformamide",298.16,1.63,0.4885800148186709,CN(C)C=O,acs.iecr.2c03342,CN(C)C=O,CN(C)C=O@298.16
2-nitroisobutane,295.3066325,2.321427947,0.8421824905737951,CC(C)(C)[N+](=O)[O-],acs.iecr.2c03342,CC(C)(C)[N+](=O)[O-],CC(C)(C)[N+](=O)[O-]@295.3066325
nitrobenzene,298.2,1.081,0.077886539,C1=CC=C(C=C1)[N+](=O)[O-],acs.iecr.2c03342,O=[N+]([O-])c1ccccc1,O=[N+]([O-])c1ccccc1@298.2
dinitrofluoromethane,298.16,0.938458906,-0.063516211,C([N+](=O)[O-])([N+](=O)[O-])F,acs.iecr.2c03342,O=[N+]([O-])C(F)[N+](=O)[O-],O=[N+]([O-])C(F)[N+](=O)[O-]@298.16
trinitrofluoromethane,295.66,1.213310356,0.1933524555054136,C([N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])F,acs.iecr.2c03342,O=[N+]([O-])C(F)([N+](=O)[O-])[N+](=O)[O-],O=[N+]([O-])C(F)([N+](=O)[O-])[N+](=O)[O-]@295.66
pyridine,298.1417254,1.704761502,0.5334252197080135,C1=CC=NC=C1,acs.iecr.2c03342,c1ccncc1,c1ccncc1@298.1417254
pyridine,298.16,1.72,0.5423242908253617,C1=CC=NC=C1,acs.iecr.2c03342,c1ccncc1,c1ccncc1@298.16
dimethylsulfoxide,298.16,0.748666667,-0.289461432,CS(=O)C,acs.iecr.2c03342,CS(C)=O,CS(C)=O@298.16
carbon disulfide,298.16,4.39,1.479329227,C(=S)=S,acs.iecr.2c03342,S=C=S,S=C=S@298.16
n-hexanethiol,298.16,1.51,0.412109651,CCCCCCS,acs.iecr.2c03342,CCCCCCS,CCCCCCS@298.16
n-heptanethiol,298.16,1.18,0.1655144384775733,CCCCCCCS,acs.iecr.2c03342,CCCCCCCS,CCCCCCCS@298.16
n-octanethiol,298.16,0.931,-0.071496002,CCCCCCCCS,acs.iecr.2c03342,CCCCCCCCS,CCCCCCCCS@298.16
n-dodecanethiol,298.16,0.392,-0.936493439,CCCCCCCCCCCCS,acs.iecr.2c03342,CCCCCCCCCCCCS,CCCCCCCCCCCCS@298.16
tri-n-butyl phosphate,296.0243857,0.309400643,-1.173118262,CCCCOP(=O)(OCCCC)OCCCC,acs.iecr.2c03342,CCCCOP(=O)(OCCCC)OCCCC,CCCCOP(=O)(OCCCC)OCCCC@296.0243857
tri-n-butyl phosphate,298.0,0.28,-1.272965676,CCCCOP(=O)(OCCCC)OCCCC,acs.iecr.2c03342,CCCCOP(=O)(OCCCC)OCCCC,CCCCOP(=O)(OCCCC)OCCCC@298.0
tri-n-butyl phosphate,298.16,0.229,-1.474033275,CCCCOP(=O)(OCCCC)OCCCC,acs.iecr.2c03342,CCCCOP(=O)(OCCCC)OCCCC,CCCCOP(=O)(OCCCC)OCCCC@298.16
