MD_ID,box,Dmd_m2_s,window_ps,can_SMILES,T_K,Dmd×10-9/m2·s-1,Dpred×10-9/m2·s-1
7,35,1.384080671951711e-09,1949.5,COCC(C)O,300,1.3840806719517111,1.380193925000027
39,35,9.134096671488731e-11,1649.5,Cc1ccc(C(C)C)c(O)c1,300,0.0913409667148873,1.5002735689103073
55,35,1.7581822652073792e-10,1949.5,CC(O)C(C)O,300,0.1758182265207379,1.357753665850464
100,35,1.4627549310877447e-11,1949.5,O=C(O)CCCCc1ccccc1,300,0.0146275493108774,1.4980602026457381
104,35,3.562270654026881e-12,1899.5,CCOc1ccc2ccc(=O)oc2c1,300,0.0035622706540268,1.554158872466923
134,35,2.330060193340293e-12,1249.5,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,300,0.0023300601933402,1.4079859459534743
152,35,9.998403311495498e-13,1399.5,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,300,0.0009998403311495,1.4805007029319848
154,35,1.1120127098673066e-12,324.5,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,300,0.0011120127098673,1.5720658860504093
203,35,2.0070703267979364e-10,1949.5,O=C(O)C(Cl)Cl,300,0.2007070326797936,1.4217066499151962
208,35,2.9607001858274075e-09,1949.5,CCOCC,300,2.960700185827408,1.4865550338636517
224,35,2.4311212179607307e-10,1949.5,COCC(C)OCC(C)O,300,0.243112121796073,1.4013794183110522
232,35,2.925973380720238e-12,1099.5,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,300,0.0029259733807202,1.4563907991418086
235,35,2.9488434804805203e-10,1949.5,CCOCCC(=O)OCC,300,0.294884348048052,1.5122853042003657
251,35,1.4051189788494748e-12,949.5,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,300,0.0014051189788494,1.4114765486616525
259,35,2.5453393468067635e-12,1299.5,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,300,0.0025453393468067,1.2883849115388335
269,35,1.2966006592600876e-12,674.5,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCCCCC(=O)O,300,0.00129660065926,1.4755290795385634
272,35,9.34215873446673e-13,674.5,COC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,300,0.0009342158734466,1.6036720112214062
300,35,3.233180846341033e-12,1799.5,c1ccc([C@H]2CN3CCSC3=N2)cc1,300,0.003233180846341,1.5898346496078757
335,35,8.876159637225912e-11,1949.5,O=NN(CCO)CCO,300,0.0887615963722591,1.6832160153772961
368,35,1.042773729287863e-12,1299.5,Nc1ccc(C(=O)O)cc1,300,0.0010427737292878,1.5083270137755402
371,35,5.212529392473864e-12,1799.5,CCCCC/C=C/C=C/C(=O)NCC(C)C,300,0.0052125293924738,1.6827479789632727
392,35,5.52538854671271e-10,1949.5,CCCCOCC(C)O,300,0.552538854671271,1.468698667425593
438,35,3.9849921107985416e-12,1674.5,COc1cc(C=O)ccc1O,300,0.0039849921107985,1.6003129445435322
441,35,7.088371265124812e-09,1949.5,[3H]O[3H],300,7.088371265124813,1.5487777848313957
500,35,1.0605960190174148e-11,1374.5,C1CCC2CC3CCCCC3CC2C1,300,0.0106059601901741,1.7799718958323762
510,35,1.027486377322494e-10,1924.5,COCCOCCOCCOCCOC,300,0.1027486377322494,1.4400120857754077
516,35,1.3186903726806582e-11,1199.5,C1COCCOCCOCCO1,300,0.0131869037268065,1.4735942535311266
519,35,1.14502167586525e-12,1599.5,COc1ccc(C2(c3ccc(OC)cc3)OC(=O)c3ccccc32)cc1,300,0.0011450216758652,1.5157621527567895
611,35,2.105427898470801e-09,1949.5,Fc1cc(F)cc(F)c1,300,2.105427898470801,1.5735318586671445
677,35,1.6949219812130066e-12,1649.5,CO[C@@]1(C(=O)NCc2ccc(Nc3ccncc3)cc2)CCOC1,300,0.001694921981213,1.3965225866061872
690,35,1.0401878305307392e-12,249.5,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H](C(=O)NNc1ccccc1)[C@@H](C)O)C(C)C,300,0.0010401878305307,1.1658749999084639
692,35,3.2616545464668217e-12,599.5,CC(C)=CCC[C@@]1(C)CC=C(COC(=O)CCC(=O)O)c2nnc(C)cc2[C@@H]1/C=C/OC(=O)C=C(C)C,300,0.0032616545464668,1.4105365289190044
702,35,2.086376604727958e-12,299.5,COc1ccc2nccc(N/N=C/C3CCCCC3)c2c1,300,0.0020863766047279,1.6737600179394037
752,35,1.7551089198740524e-12,1099.5,CCN(CC)CCCN1C(=O)c2ccccc2S1(=O)=O,300,0.001755108919874,1.5914137527572627
776,35,3.1998815952448444e-12,199.5,CC(C)[C@@H](NC(=O)c1cc(C(F)(F)F)ccc1F)C(=O)N1CCC2(CC1)C(=O)N(C)C(=O)N2c1ccc2[nH]ncc2c1,300,0.0031998815952448,1.2493763666623405
822,35,1.0543983400182186e-12,149.5,CC(C)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@@]2(CCS2)[C@@H]1O)Oc1ccccc1,300,0.0010543983400182,1.3497276268884395
826,35,1.5181523613251538e-12,1824.5,Nc1cccc2cc3ccccc3cc12,300,0.0015181523613251,1.393608787873858
837,35,1.3595796987181457e-12,874.5,CCCCCCCC[C@H](CC(=O)NO)C(=O)N[C@H]1CCCCN(CCOC)C1=O,300,0.0013595796987181,1.252233952044061
847,35,1.29382958251846e-12,1499.5,O=C(O)CCCN1CC(c2nnn[nH]2)Oc2c(NC(=O)c3ccc(OCCCCc4ccccc4)cc3)cccc21,300,0.0012938295825184,1.3695045976768685
852,35,4.071012857101565e-12,1424.5,CCN(CC)c1nc(C)c2nc(SCC(=O)NCCN)n(CCn3cncn3)c2n1,300,0.0040710128571015,1.4737543326071632
872,35,2.190449851636703e-12,1424.5,CCCCCCCCCCCCCCC[C@@H](O)C[C@H](O)C[C@H](O)C[C@H](O)C[C@H](O)C[C@H]1CC=CC(=O)O1,300,0.0021904498516367,1.329748289365527
939,35,1.945021979045973e-12,1524.5,CCCCCCCCCCn1cc(C(C)=O)c(=O)[nH]c1=O,300,0.0019450219790459,1.5384020953205928
940,35,1.6269153663277686e-12,1449.5,CCOC(=O)C(=O)NCCCN1CCOCC1,300,0.0016269153663277,1.5015349436494196
941,35,9.56700560383488e-13,649.5,COCCNC(=O)[C@@H]1CCCN1C(=O)C1CCN(S(=O)(=O)c2ccc(C)cc2)CC1,300,0.0009567005603834,1.3526758081733576
942,35,2.1952230732612318e-12,1349.5,C[N+](C)(C)C[C@@H](O)CC(=O)[O-],300,0.0021952230732612,1.415074618591248
946,35,5.843796979515536e-13,1649.5,NC(=O)CN1C(=O)CN(c2cccc(CCCCOCCCCCCNC[C@H](O)c3ccc(O)c(CO)c3)c2)C1=O,300,0.0005843796979515,1.3600387534766012
975,35,9.24830250955385e-12,1474.5,CCCCCCCCc1cn(CCCCC(=O)OCC)nn1,300,0.0092483025095538,1.4825426095516854
977,35,2.4482696028214208e-12,1949.5,CCc1c(CCNCCCCCCNC(C)Cc2ccc3c(c2CC)OCO3)ccc(OC)c1OC,300,0.0024482696028214,1.477675920907114
990,35,4.452562514227195e-13,1324.5,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)CCCCN3CCCNCCNCCCNCC3)O2)c(=O)[nH]c1=O,300,0.0004452562514227,1.4240068827821375
995,35,2.5661923625654868e-12,1099.5,CCCCCCCCS(=O)(=O)NCC1CCC(CNc2nc(N(C)C)c3ccccc3n2)CC1,300,0.0025661923625654,1.3996758699896301
