Compound_Name,can_SMILES,source,Charge,Molar_Mass_g_mol,Density_g_cm3,MD_ID
(Z)-Dichloropropene,Cl/C=C\CCl,SkinPerm_exp_250707,0,110.97100000000002,1.1706105684123194,1
1-3-Dichloropropene,ClC=CCCl,SkinPerm_exp_250707,0,110.97100000000002,1.1646688526913265,2
1-Dodecyl Glycidyl Ether,CCCCCCCCCCCCOCC1CO1,SkinPerm_exp_250707,0,242.4029999999999,0.8954232059738199,3
1-Heptanol,CCCCCCCO,SelfDiff_exp;SkinPerm_exp_250707,0,116.204,0.8210410964619611,4
1-Hexanol,CCCCCCO,SelfDiff_exp;SkinPerm_exp_250707,0,102.177,0.8160138013074808,5
1-Hexyl-2-Pyrrolidone,CCCCCCN1CCCC1=O,SkinPerm_exp_250707,0,169.268,1.0,6
1-Methoxy-2-Propanol,COCC(C)O,SkinPerm_exp_250707,0,90.122,0.879484427493109,7
1-Naphthol,Oc1cccc2ccccc12,SkinPerm_exp_250707,0,144.17299999999997,1.2150411215928938,8
1-Octyl-2-Azacycloheptanone,CCCCCCCCN1CCCCCC1=O,SkinPerm_exp_250707,0,225.37599999999995,1.0,9
1-Octyl-2-Pyrrolidone,CCCCCCCCN1CCCC1=O,SkinPerm_exp_250707,0,197.32199999999995,0.929177136980741,10
"1,1-Dichloropropanone",CC(=O)C(Cl)Cl,SkinPerm_exp_250707,0,126.97,1.2468769435366118,11
"1,1,1-Trichloroethane",CC(Cl)(Cl)Cl,SelfDiff_exp;SkinPerm_exp_250707,0,133.405,1.3302726143162904,12
"1,1,1-Trichloropropanone",CC(=O)C(Cl)(Cl)Cl,SkinPerm_exp_250707,0,161.41500000000002,1.4022676969933925,13
"1,2-Dichloroethane",ClCCCl,SelfDiff_exp;SkinPerm_exp_250707,0,98.96,1.2455651435670696,14
"1,2-Dichloropropene",C/C(Cl)=C/Cl,SkinPerm_exp_250707,0,110.971,1.0,15
"1,2,4-Benzenetriol",Oc1ccc(O)c(O)c1,SkinPerm_exp_250707,0,126.11099999999998,2.84538757574262,16
"1,4-Phenylenediamine",Nc1ccc(N)cc1,SkinPerm_exp_250707,0,108.144,1.1851018548125445,17
"1,6-Hexanediol Diglycidyl Ether",C(CCCOCC1CO1)CCOCC1CO1,SkinPerm_exp_250707,0,230.30399999999997,1.0,18
17-A-Hydroxyprogesterone,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,SkinPerm_exp_250707,0,330.4680000000001,1.2513396763882745,19
17Beta-Estradiol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,SkinPerm_exp_250707,0,272.3879999999999,1.3189097375311805,20
2-(2-Butoxyethoxy)Ethanol,CCCCOCCOCCO,SkinPerm_exp_250707,0,162.22899999999998,0.9332218887434032,21
2-(2-Ethoxyethoxy)Ethanol,CCOCCOCCO,SkinPerm_exp_250707,0,134.175,0.9682291193936456,22
2-(Acetylamino)Fluorene,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,SkinPerm_exp_250707,0,223.275,1.181558171890329,23
"2-Amino-3-Methylimidazo[4,5_F]Quinoline",Cn1c(N)nc2c3cccnc3ccc21,SkinPerm_exp_250707,0,198.229,1.169022414742685,24
2-Amino-4-Nitrophenol,Nc1cc([N+](=O)[O-])ccc1O,SkinPerm_exp_250707,0,154.125,1.566506882354171,25
2-Aminophenol,Nc1ccccc1O,SkinPerm_exp_250707,0,109.128,1.425825407145429,26
2-Butanone,CCC(C)=O,SkinPerm_exp_250707,0,72.10699999999999,0.7995423360165272,27
2-Butoxyethanol,CCCCOCCO,SkinPerm_exp_250707,0,118.176,0.8510108939264884,28
2-Chlorophenol,Oc1ccccc1Cl,SkinPerm_exp_250707,0,128.558,1.2160329432847587,29
2-Cresol,Cc1ccccc1O,SkinPerm_exp_250707,0,108.14,1.1625630850570563,30
2-Ethoxyethanol,CCOCCO,SkinPerm_exp_250707,0,90.122,0.9209964523030844,31
2-Ethoxyethyl Acetate,CCOCCOC(C)=O,SkinPerm_exp_250707,0,132.159,0.9045737677503572,32
2-Ethylhexanol,CCCCC(CC)CO,SkinPerm_exp_250707,0,130.231,0.7872919837223324,33
2-Ethylhexyl Acrylate,C=CC(=O)OCC(CC)CCCC,SkinPerm_exp_250707,0,184.2789999999999,0.8642603265208361,34
2-Heptanone,CCCCCC(C)=O,SelfDiff_exp;SkinPerm_exp_250707,0,114.188,0.8117867195814923,35
2-Hexanone,CCCCC(C)=O,SelfDiff_exp;SkinPerm_exp_250707,0,100.161,0.8069952461189213,36
2-Hydroxypropyl Nicotinate,CC(CO)OC(=O)c1cccnc1,SkinPerm_exp_250707,0,181.191,1.0,37
