Compound_Name,SMILES_PubChem,logKp(cm/h),logKp(cm/s),Ref,T_K,Anatomical_location,Diffusion_cell,Receptor_medium,can_SMILES
(Hydrocortisone-21-Yl)-Hemipimelate,Not found in PubChem,-2.75,-6.31,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,Phosphate-buffered saline/physiological saline,
(Hydrocortisone-21-Yl)-Hemisuccinate,Not found in PubChem,-1.01,-4.57,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,Phosphate-buffered saline/physiological saline,
(Hydrocortisone-21-Yl)-Hexanoate,Not found in PubChem,-1.75,-5.31,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,Phosphate-buffered saline/physiological saline,
(Hydrocortisone-21-Yl)-Hydroxy Hexanoate,Not found in PubChem,-3.04,-6.6,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,Phosphate-buffered saline/physiological saline,
(Hydrocortisone-21-Yl)-Octanoate,Not found in PubChem,-1.21,-4.77,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,Phosphate-buffered saline/physiological saline,
(Hydrocortisone-21-Yl)-Pimelamate,Not found in PubChem,-3.05,-6.61,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,Phosphate-buffered saline/physiological saline,
(Hydrocortisone-21-Yl)-Propionate,Not found in PubChem,-2.47,-6.03,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,Phosphate-buffered saline/physiological saline,
(Hydrocortisone-21-Yl)-Succinate,Not found in PubChem,-4.59,-8.15,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,Phosphate-buffered saline/physiological saline,
(Z)-Dichloropropene,C(/C=C\Cl)Cl,3.46,-0.1,16,305.15,Abdominal Human Skin,Static,PBS/Saline,Cl/C=C\CCl
1-3-Dichloropropene,C(C=CCl)Cl,-2,-5.56,50,305.15,Human Abdominal Skin,Static,PBS,ClC=CCCl
1-Dodecyl Glycidyl Ether,CCCCCCCCCCCCOCC1OC1,-5.48,-9.04,31,,"Mammaplasty, Breast",Flow Through Cell,Hanks balanced salt solution,CCCCCCCCCCCCOCC1CO1
1-Heptanol,CCCCCCCO,-1.49,-5.05,37,,"Cadaver, Abdomen",Pyrex Cell,Distilled water,CCCCCCCO
1-Heptanol,CCCCCCCO,-1.42,-4.98,2,303.15,Human Skin,Static/Stirred/Flow,Saline solution/Phosphate buffer/Isotonic aqueous solution,CCCCCCCO
1-Heptanol,CCCCCCCO,-1.28,-4.84,110,305.15,Human Abdominal Skin/Stratum Corneum,Static,PBS,CCCCCCCO
1-Hexanol,CCCCCCO,-1.72,-5.28,33,310.15,"Abdominoplasty, Abdomen",Glass Diffusion Cell,PBS,CCCCCCO
1-Hexanol,CCCCCCO,-1.88,-5.44,4,305.15,Human Skin/Abdomen/Breast,Static/Stirred/Flow,Buffered saline/ MEM,CCCCCCO
1-Hexanol,CCCCCCO,-1.89,-5.45,2,303.15,Human Skin,Static/Stirred/Flow,Saline solution/Phosphate buffer/Isotonic aqueous solution,CCCCCCO
