smiles,chembl_id,ref,can_SMILES
CCOCn1ccc2c1CCc1cnn(C)c1-2,CHEMBL558145,chembl34_batch1,CCOCn1ccc2c1CCc1cnn(C)c1-2
COc1ccc(CCC(=O)Nc2ccc3nc(N4CCN(C)CC4)cc(C)c3c2)cc1,CHEMBL189083,chembl34_batch1,COc1ccc(CCC(=O)Nc2ccc3nc(N4CCN(C)CC4)cc(C)c3c2)cc1
O=C(NO)c1cnc(NCc2ccc(F)c(Cl)c2)nc1,CHEMBL3655936,chembl34_batch1,O=C(NO)c1cnc(NCc2ccc(F)c(Cl)c2)nc1
CCOc1ccc2[nH]c(C(C)O)nc2c1,CHEMBL1388035,chembl34_batch1,CCOc1ccc2[nH]c(C(C)O)nc2c1
C[C@H]1O[C@@H](O[C@H]2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,CHEMBL1169675,chembl34_batch1,C[C@H]1O[C@@H](O[C@H]2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O
COc1cc(CCn2cnc3ccc(-c4cnc(OC)nc4OC)cc3c2=O)cc(OC)c1,CHEMBL4440936,chembl34_batch1,COc1cc(CCn2cnc3ccc(-c4cnc(OC)nc4OC)cc3c2=O)cc(OC)c1
NS(=O)(=O)c1cccc(C#Cc2cccc(F)c2)c1,CHEMBL1836407,chembl34_batch1,NS(=O)(=O)c1cccc(C#Cc2cccc(F)c2)c1
CN(C)c1ccc(-c2cncnc2Nc2ccc(F)cc2)cc1,CHEMBL1533853,chembl34_batch1,CN(C)c1ccc(-c2cncnc2Nc2ccc(F)cc2)cc1
Cc1nn(C)c(OC[C@H]2CCCCO2)c1C(=O)NCc1nccc(C(F)F)n1,CHEMBL4944466,chembl34_batch1,Cc1nn(C)c(OC[C@H]2CCCCO2)c1C(=O)NCc1nccc(C(F)F)n1
CCC(c1ccc(Cl)cc1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,CHEMBL4212298,chembl34_batch1,CCC(c1ccc(Cl)cc1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1
CC(=O)Oc1ccc2c3ccc(OC(C)=O)c4c(=O)cc(OC(C)=O)c(c5c(OC(C)=O)cc(=O)c1c25)c43,CHEMBL90608,chembl34_batch1,CC(=O)Oc1ccc2c3ccc(OC(C)=O)c4c(=O)cc(OC(C)=O)c(c5c(OC(C)=O)cc(=O)c1c25)c43
CCC(CO)OCn1cnc2c(O)nc(N)nc21,CHEMBL350508,chembl34_batch1,CCC(CO)OCn1cnc2c(O)nc(N)nc21
O=C(Nc1nccs1)c1cc(-c2ccccc2)[nH]n1,CHEMBL3342925,chembl34_batch1,O=C(Nc1nccs1)c1cc(-c2ccccc2)[nH]n1
O=S(=O)(c1ccc(OC2CCN(C3CCN(S(=O)(=O)Cc4ccccc4)CC3)CC2)cc1)c1ccc2c(c1)OCO2,CHEMBL352660,chembl34_batch1,O=S(=O)(c1ccc(OC2CCN(C3CCN(S(=O)(=O)Cc4ccccc4)CC3)CC2)cc1)c1ccc2c(c1)OCO2
c1nc(CN2CCCNCCNCCCNCC2)cnc1CN1CCCNCCNCCCNCC1,CHEMBL18128,chembl34_batch1,c1nc(CN2CCCNCCNCCCNCC2)cnc1CN1CCCNCCNCCCNCC1
Cc1cc(CN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)ccc1O,CHEMBL533210,chembl34_batch1,Cc1cc(CN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)ccc1O
CCCCCCCC(=O)NCCOc1ccc(CC2SC(=O)NC2=O)cc1,CHEMBL79359,chembl34_batch1,CCCCCCCC(=O)NCCOc1ccc(CC2SC(=O)NC2=O)cc1
CCC(C)(C)C(=O)NC(C)(C)c1ccccc1,CHEMBL4088080,chembl34_batch1,CCC(C)(C)C(=O)NC(C)(C)c1ccccc1
CCc1c(CC(N)=O)c2c(OCC(N)=O)cccc2n1Cc1ccccc1,CHEMBL423947,chembl34_batch1,CCc1c(CC(N)=O)c2c(OCC(N)=O)cccc2n1Cc1ccccc1
COCCNC(=O)CSc1nc2cc(OC)c(OC)cc2c(=O)n1CCc1ccc(S(N)(=O)=O)cc1,CHEMBL1888673,chembl34_batch1,COCCNC(=O)CSc1nc2cc(OC)c(OC)cc2c(=O)n1CCc1ccc(S(N)(=O)=O)cc1
COc1ccc(-n2nc(C(=O)NCC(=O)Nc3ccc(F)cc3)c3ccccc3c2=O)cc1Cl,CHEMBL582113,chembl34_batch1,COc1ccc(-n2nc(C(=O)NCC(=O)Nc3ccc(F)cc3)c3ccccc3c2=O)cc1Cl
Cc1ccc(-n2cc(COc3cccc4cccnc34)nn2)cc1,CHEMBL4752885,chembl34_batch1,Cc1ccc(-n2cc(COc3cccc4cccnc34)nn2)cc1
Cc1cc(S(=O)(=O)Nc2ccccc2C#Cc2ccc(C(=O)O)nc2)c2ncccc2c1,CHEMBL5288904,chembl34_batch1,Cc1cc(S(=O)(=O)Nc2ccccc2C#Cc2ccc(C(=O)O)nc2)c2ncccc2c1
COc1ccccc1-c1cc(O)c2cc(C)cnc2n1,CHEMBL298520,chembl34_batch1,COc1ccccc1-c1cc(O)c2cc(C)cnc2n1
C=CCn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2)n(C)c1=O,CHEMBL1341684,chembl34_batch1,C=CCn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2)n(C)c1=O
O=C1C=CC2(C=C1)OCC(c1cccc(-c3ccc(F)cc3)c1)O2,CHEMBL2414486,chembl34_batch1,O=C1C=CC2(C=C1)OCC(c1cccc(-c3ccc(F)cc3)c1)O2
O/N=C(/Nc1cccc(-c2ccccc2)c1)c1ccc2occc2c1,CHEMBL4858924,chembl34_batch1,O/N=C(/Nc1cccc(-c2ccccc2)c1)c1ccc2occc2c1
O=C(Nc1nc2c(ncn2C2OC(CO)C(O)C2O)c(=O)[nH]1)c1ccccc1,CHEMBL1975194,chembl34_batch1,O=C(Nc1nc2c(ncn2C2OC(CO)C(O)C2O)c(=O)[nH]1)c1ccccc1
Cc1nc(-c2ccc(C)s2)c(-c2ccc(S(C)(=O)=O)cc2)o1,CHEMBL348041,chembl34_batch1,Cc1nc(-c2ccc(C)s2)c(-c2ccc(S(C)(=O)=O)cc2)o1
COc1ccccc1-n1c(=O)n(C)c(=O)n1C(C)(C)C,CHEMBL1998168,chembl34_batch1,COc1ccccc1-n1c(=O)n(C)c(=O)n1C(C)(C)C
CCOC(=O)C(=O)N[C@@H]1CCc2nc(NC(=O)c3cc(Br)c(Br)[nH]3)sc2C1,CHEMBL3930044,chembl34_batch1,CCOC(=O)C(=O)N[C@@H]1CCc2nc(NC(=O)c3cc(Br)c(Br)[nH]3)sc2C1
CC(C)COc1ccc(C(=O)OCCN2CCCCC2)cc1,CHEMBL1531442,chembl34_batch1,CC(C)COc1ccc(C(=O)OCCN2CCCCC2)cc1
O=c1nc(N2CCC(CN3CCC(C(F)(F)F)CC3)CC2)sc2c([N+](=O)[O-])cc(C(F)(F)F)cc12,CHEMBL4247938,chembl34_batch1,O=c1nc(N2CCC(CN3CCC(C(F)(F)F)CC3)CC2)sc2c([N+](=O)[O-])cc(C(F)(F)F)cc12
CCCCNC(=O)C1C(c2ccc(OC)cc2)=Nc2ccccc2N1C(=O)Cc1cc(OC)cc(OC)c1,CHEMBL2142821,chembl34_batch1,CCCCNC(=O)C1C(c2ccc(OC)cc2)=Nc2ccccc2N1C(=O)Cc1cc(OC)cc(OC)c1
CCCCCC[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,CHEMBL1627433,chembl34_batch1,CCCCCC[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
Cc1cccc(-c2nc(CN3CCN(C(=O)C4CCCO4)CC3)co2)c1,CHEMBL1859369,chembl34_batch1,Cc1cccc(-c2nc(CN3CCN(C(=O)C4CCCO4)CC3)co2)c1
CO[C@@]1(C(=O)NCc2ccc(Nc3ccncc3)cc2)CCOC1,CHEMBL4904304,chembl34_batch1,CO[C@@]1(C(=O)NCc2ccc(Nc3ccncc3)cc2)CCOC1
O=C(c1ccsc1)c1cnn2c1n[n+]([O-])c1ccc(Cl)cc12,CHEMBL264670,chembl34_batch1,O=C(c1ccsc1)c1cnn2c1n[n+]([O-])c1ccc(Cl)cc12
O=C1[C@H]2[C@H]3[C@H](O)[C@H](O)C/C(=N/OCc4ccccc4)[C@H]3CC[C@@H]2C(=O)N1c1cccc(Oc2ccccc2)c1,CHEMBL1514560,chembl34_batch1,O=C1[C@H]2[C@H]3[C@H](O)[C@H](O)C/C(=N/OCc4ccccc4)[C@H]3CC[C@@H]2C(=O)N1c1cccc(Oc2ccccc2)c1
N=C(N)c1ccc(CC(NC(=O)CNS(=O)(=O)c2ccc(C(=N)N)cc2)C(=O)O)cc1,CHEMBL341933,chembl34_batch1,N=C(N)c1ccc(CC(NC(=O)CNS(=O)(=O)c2ccc(C(=N)N)cc2)C(=O)O)cc1
CCC(c1cccc(NC(=O)c2cccc(C(F)(F)F)n2)c1)N1CCC(C(=O)NC2CCCCC2)CC1,CHEMBL3983927,chembl34_batch1,CCC(c1cccc(NC(=O)c2cccc(C(F)(F)F)n2)c1)N1CCC(C(=O)NC2CCCCC2)CC1
O=C1C[C@H]2O[C@@H](CI)[C@@H](O)[C@H]2O1,CHEMBL4877575,chembl34_batch1,O=C1C[C@H]2O[C@@H](CI)[C@@H](O)[C@H]2O1
CCCCCCOCC#CCOc1ccccc1CCC(=O)OCCCOP(=O)(O)OC[C@H](N)C(=O)O,CHEMBL4072867,chembl34_batch1,CCCCCCOCC#CCOc1ccccc1CCC(=O)OCCCOP(=O)(O)OC[C@H](N)C(=O)O
O=c1[nH]c(-c2ccc(O)cc2)nc2sc3c(c12)CCC3,CHEMBL4442574,chembl34_batch1,O=c1[nH]c(-c2ccc(O)cc2)nc2sc3c(c12)CCC3
COc1cc2c(cc3c4c(cc5c(c42)OCO5)C(=O)N3CCC=O)c(OC)c1OC(C)C,CHEMBL333751,chembl34_batch1,COc1cc2c(cc3c4c(cc5c(c42)OCO5)C(=O)N3CCC=O)c(OC)c1OC(C)C
CCC1CCN(C(=O)C(CCCN=C(N)N)NS(=O)(=O)c2cc(OC)c3ccccc3c2)CC1,CHEMBL353636,chembl34_batch1,CCC1CCN(C(=O)C(CCCN=C(N)N)NS(=O)(=O)c2cc(OC)c3ccccc3c2)CC1
Cc1cc(-c2cnc3cccnn23)cc(C)c1O,CHEMBL3728712,chembl34_batch1,Cc1cc(-c2cnc3cccnn23)cc(C)c1O
N#Cc1n[nH]c2nc[nH]c(=O)c12,CHEMBL4296865,chembl34_batch1,N#Cc1n[nH]c2nc[nH]c(=O)c12
CC1(C)CC(=O)C2=C(C1)N=C1NN=C(c3ccc(Cl)cc3)N1C2c1ccc(Cl)cc1,CHEMBL576554,chembl34_batch1,CC1(C)CC(=O)C2=C(C1)N=C1NN=C(c3ccc(Cl)cc3)N1C2c1ccc(Cl)cc1
CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H](C(=O)NNc1ccccc1)[C@@H](C)O)C(C)C,CHEMBL2401765,chembl34_batch1,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H](C(=O)NNc1ccccc1)[C@@H](C)O)C(C)C
CC(C)(C)c1ccc(CN2CCC(C3CCc4ccccc4C3=O)CC2)cc1,CHEMBL124411,chembl34_batch1,CC(C)(C)c1ccc(CN2CCC(C3CCc4ccccc4C3=O)CC2)cc1
CC(C)=CCC[C@@]1(C)CC=C(COC(=O)CCC(=O)O)c2nnc(C)cc2[C@@H]1/C=C/OC(=O)C=C(C)C,CHEMBL5291232,chembl34_batch1,CC(C)=CCC[C@@]1(C)CC=C(COC(=O)CCC(=O)O)c2nnc(C)cc2[C@@H]1/C=C/OC(=O)C=C(C)C
Cc1sc(N)nc1C(=O)O,CHEMBL1822874,chembl34_batch1,Cc1sc(N)nc1C(=O)O
Cc1cccc(C)c1NC(=O)CNC(=O)CCNC(=O)c1ccco1,CHEMBL1698256,chembl34_batch1,Cc1cccc(C)c1NC(=O)CNC(=O)CCNC(=O)c1ccco1
C=CCN1C(=O)C=C(C)OS1(=O)=O,CHEMBL3321764,chembl34_batch1,C=CCN1C(=O)C=C(C)OS1(=O)=O
CN(CCCN(C)Cc1ccc(C(=O)O)cc1)CC(=O)Nc1ccc(OCC(O)c2ccccc2)cc1,CHEMBL470754,chembl34_batch1,CN(CCCN(C)Cc1ccc(C(=O)O)cc1)CC(=O)Nc1ccc(OCC(O)c2ccccc2)cc1
CCN(C(=O)C1CCC=C1C(=O)NCc1ccc(C(=N)N)cc1)c1cccc(OC)c1,CHEMBL17553,chembl34_batch1,CCN(C(=O)C1CCC=C1C(=O)NCc1ccc(C(=N)N)cc1)c1cccc(OC)c1
CCCCCCc1c(C)c2ccc(OCC(=O)N[C@@H](Cc3ccccc3)C(=O)O)cc2oc1=O,CHEMBL1328027,chembl34_batch1,CCCCCCc1c(C)c2ccc(OCC(=O)N[C@@H](Cc3ccccc3)C(=O)O)cc2oc1=O
O=C(CCc1noc2c1ccc1c(F)c(O)ccc12)NC1=C(C(=O)O)CCCC1,CHEMBL483140,chembl34_batch1,O=C(CCc1noc2c1ccc1c(F)c(O)ccc12)NC1=C(C(=O)O)CCCC1
COc1ccc(/C=C/c2cccc(/C=C/c3ccc(OC)c(N)c3)n2)cc1N,CHEMBL392878,chembl34_batch1,COc1ccc(/C=C/c2cccc(/C=C/c3ccc(OC)c(N)c3)n2)cc1N
CCCCC1=C2CCC[C@]2(C)CC[C@H]1CCC(=O)O,CHEMBL4862517,chembl34_batch1,CCCCC1=C2CCC[C@]2(C)CC[C@H]1CCC(=O)O
COc1ccc2nccc(N/N=C/C3CCCCC3)c2c1,CHEMBL552131,chembl34_batch1,COc1ccc2nccc(N/N=C/C3CCCCC3)c2c1
C[C@@H](c1ccccc1)N1CC(CO)(CO)C1,CHEMBL4990467,chembl34_batch1,C[C@@H](c1ccccc1)N1CC(CO)(CO)C1
O=C(O)c1cc([N+](=O)[O-])c(N2CCCC2)c([N+](=O)[O-])c1,CHEMBL1579793,chembl34_batch1,O=C(O)c1cc([N+](=O)[O-])c(N2CCCC2)c([N+](=O)[O-])c1
Oc1cccc2c3c([nH]c12)C(C1=C[C@@]2(O)CC/C=C\CCCCN4CC[C@@H]1[C@]1(C[C@@H]5/C=C\CCCCN5[C@H]12)C4)=NCC3,CHEMBL5275391,chembl34_batch1,Oc1cccc2c3c([nH]c12)C(C1=C[C@@]2(O)CC/C=C\CCCCN4CC[C@@H]1[C@]1(C[C@@H]5/C=C\CCCCN5[C@H]12)C4)=NCC3
Cc1cnc(Nc2ccc(N3CCC(N(C)CC4CCCO4)CC3)c(F)c2)nc1-c1cnn(C(C)C)c1,CHEMBL4532008,chembl34_batch1,Cc1cnc(Nc2ccc(N3CCC(N(C)CC4CCCO4)CC3)c(F)c2)nc1-c1cnn(C(C)C)c1
CCCCCCCNc1c2c(nc3cc([N+](=O)[O-])ccc13)CCCC2,CHEMBL294525,chembl34_batch1,CCCCCCCNc1c2c(nc3cc([N+](=O)[O-])ccc13)CCCC2
N[C@H]1C[C@H]1c1ccccc1,CHEMBL1476329,chembl34_batch1,N[C@H]1C[C@H]1c1ccccc1
O=C(NNC(=O)c1cc(Br)c(Br)s1)c1ccncc1,CHEMBL1724491,chembl34_batch1,O=C(NNC(=O)c1cc(Br)c(Br)s1)c1ccncc1
O=C(N/N=C/c1ccccc1O)c1ccccc1Nc1ccccc1C(=O)N/N=C/c1ccccc1O,CHEMBL1990045,chembl34_batch1,O=C(N/N=C/c1ccccc1O)c1ccccc1Nc1ccccc1C(=O)N/N=C/c1ccccc1O
O=C(NC1CCCCC1)c1nn2c(C(F)(F)F)cc(-c3ccco3)nc2c1Br,CHEMBL1372390,chembl34_batch1,O=C(NC1CCCCC1)c1nn2c(C(F)(F)F)cc(-c3ccco3)nc2c1Br
COc1cccc(/C=C/C(=O)c2ccc(C)c([N+](=O)[O-])c2)c1,CHEMBL1335378,chembl34_batch1,COc1cccc(/C=C/C(=O)c2ccc(C)c([N+](=O)[O-])c2)c1
N#Cc1cnc(Nc2cc(NCCCN)ncn2)cn1,CHEMBL1928688,chembl34_batch1,N#Cc1cnc(Nc2cc(NCCCN)ncn2)cn1
O=C(N/N=C/N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1)c1cccc(C(F)(F)F)c1,CHEMBL1829181,chembl34_batch1,O=C(N/N=C/N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1)c1cccc(C(F)(F)F)c1
CC(=O)c1ccc(S(=O)(=O)N2CCN(C(=O)c3cccc(S(=O)(=O)N4CC(C)OC(C)C4)c3)CC2)cc1,CHEMBL2134881,chembl34_batch1,CC(=O)c1ccc(S(=O)(=O)N2CCN(C(=O)c3cccc(S(=O)(=O)N4CC(C)OC(C)C4)c3)CC2)cc1
C=CC(=O)Nc1cc2c(Nc3c(F)cc(Br)cc3F)ncnc2cc1OCC1CCN(C(C)=O)CC1,CHEMBL3671482,chembl34_batch1,C=CC(=O)Nc1cc2c(Nc3c(F)cc(Br)cc3F)ncnc2cc1OCC1CCN(C(C)=O)CC1
