Compound_Name,SMILES_PubChem,logKp(cm/h),logKp(cm/s),Ref,T_K,Anatomical_location,Diffusion_cell,Receptor_medium,can_SMILES
Bromoform,C(Br)(Br)Br,-0.67,-4.23,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,BrC(Br)Br
Gamma-Hbcdd,C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br,-0.08,-3.64,21,305.15,Abdominal/Back/Breast Human Skin,Stirred,aqueous solution / phosphate buffer,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br
Tbp-Dbpe,C1=C(C(=C(C(=C1Br)OC2=C(C=C(C(=C2Br)CC(CBr)Br)Br)Br)Br)CC(CBr)Br)Br,0.05,-3.51,21,305.15,Abdominal/Back/Breast Human Skin,Stirred,aqueous solution / phosphate buffer,BrCC(Br)Cc1c(Br)cc(Br)c(Oc2c(Br)cc(Br)c(CC(Br)CBr)c2Br)c1Br
Benzyl Bromide,C1=CC=C(C=C1)CBr,-1.89,-5.45,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,BrCc1ccccc1
Β-Hexabromocyclododecane,C1C[C@H]([C@H](CC[C@H]([C@H](CC[C@H]([C@@H]1Br)Br)Br)Br)Br)Br,-3.83,-7.39,55,305.15,"Surgery, Breast",Static Franz Cell,DMEM based culture medium and 5% BSA,Br[C@@H]1CC[C@@H](Br)[C@@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br
Γ-Hexabromocyclododecane,C1C[C@H]([C@H](CC[C@@H]([C@@H](CC[C@H]([C@@H]1Br)Br)Br)Br)Br)Br,-3.86,-7.42,55,305.15,"Surgery, Breast",Static Franz Cell,DMEM based culture medium and 5% BSA,Br[C@@H]1CC[C@@H](Br)[C@@H](Br)CC[C@H](Br)[C@H](Br)CC[C@H]1Br
Α-Hexabromocyclododecane,C1C[C@H]([C@H](CC[C@H]([C@@H](CC[C@@H]([C@@H]1Br)Br)Br)Br)Br)Br,-3.67,-7.22,55,305.15,"Surgery, Breast",Static Franz Cell,DMEM based culture medium and 5% BSA,Br[C@@H]1CC[C@H](Br)[C@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br
Dbdpe,C(CC1=C(C(=C(C(=C1Br)Br)Br)Br)Br)C2=C(C(=C(C(=C2Br)Br)Br)Br)Br,-0.1,-3.66,21,305.15,Abdominal/Back/Breast Human Skin,Stirred,aqueous solution / phosphate buffer,Brc1c(Br)c(Br)c(CCc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br
Btbpe,C1=C(C=C(C(=C1Br)OCCOC2=C(C=C(C=C2Br)Br)Br)Br)Br,-0.06,-3.62,21,305.15,Abdominal/Back/Breast Human Skin,Stirred,aqueous solution / phosphate buffer,Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1
"1,6-Hexanediol Diglycidyl Ether",C1C(O1)COCCCCCCOCC2CO2,-3.87,-7.43,38,305.15,Breast,"Flow-
Through",Hanks’ balanced salt solution (HBSS) + 25 mM HEPES (pH 7.4) + 2.5% BSA + Gentamicin 50 µg/mL,C(CCCOCC1CO1)CCOCC1CO1
